source,target,value
19(1),NoHCC(2),85
2(1),NoHCC(2),9
21(1),NoHCC(2),1
22(1),NoHCC(2),9
23(1),10(2),1
23(1),8(2),1
23(1),NoHCC(2),166
27(1),9(2),1
27(1),NoHCC(2),21
28(1),28(2),2
28(1),NoHCC(2),27
29(1),NoHCC(2),10
33(1),NoHCC(2),34
34(1),NoHCC(2),6
35(1),NoHCC(2),8
39(1),NoHCC(2),13
40(1),NoHCC(2),24
46(1),NoHCC(2),25
47(1),NoHCC(2),4
48(1),10(2),1
48(1),NoHCC(2),9
55(1),NoHCC(2),1
57(1),NoHCC(2),13
58(1),58(2),2
58(1),NoHCC(2),24
70(1),NoHCC(2),1
71(1),NoHCC(2),1
72(1),72(2),2
72(1),NoHCC(2),10
73(1),NoHCC(2),24
75(1),NoHCC(2),10
76(1),NoHCC(2),2
77(1),77(2),1
77(1),NoHCC(2),8
78(1), 100;78(2),2
78(1),78(2),2
78(1),NoHCC(2),63
79(1),NoHCC(2),39
8(1),8(2),1
8(1),NoHCC(2),47
80(1),NoHCC(2),6
82(1),NoHCC(2),4
84(1),NoHCC(2),46
85(1),10(2),1
85(1),NoHCC(2),128
86(1),NoHCC(2),11
87(1),NoHCC(2),38
88(1),NoHCC(2),17
9(1), 186;27;9(2),1
9(1),8(2),1
9(1),9(2),6
9(1),NoHCC(2),167
96(1),10(2),1
96(1),108(2),1
96(1),96(2),1
96(1),NoHCC(2),306
99(1),10(2),1
99(1),NoHCC(2),40
NoHCC(1), 10;103;78(2),1
NoHCC(1), 10;108(2),1
NoHCC(1), 10;112(2),1
NoHCC(1), 10;19(2),1
NoHCC(1), 10;40(2),1
NoHCC(1), 10;78(2),1
NoHCC(1), 100;80(2),1
NoHCC(1), 103;8(2),1
NoHCC(1), 104;78(2),2
NoHCC(1), 108;111;170(2),1
NoHCC(1), 108;111;9(2),1
NoHCC(1), 108;112(2),1
NoHCC(1), 11;75(2),1
NoHCC(1), 111;12(2),1
NoHCC(1), 111;23(2),1
NoHCC(1), 111;27;9(2),1
NoHCC(1), 111;85(2),1
NoHCC(1), 112;115(2),1
NoHCC(1), 112;12(2),1
NoHCC(1), 112;79(2),1
NoHCC(1), 12;40(2),1
NoHCC(1), 12;78(2),1
NoHCC(1), 167;79;80(2),1
NoHCC(1), 186;6(2),1
NoHCC(1), 19;78(2),1
NoHCC(1), 19;8(2),1
NoHCC(1), 23;75;78(2),2
NoHCC(1), 23;78(2),3
NoHCC(1), 23;79(2),1
NoHCC(1), 27;9(2),2
NoHCC(1), 28;9(2),2
NoHCC(1), 40;78(2),1
NoHCC(1), 40;79(2),1
NoHCC(1), 54;78(2),1
NoHCC(1), 57;78(2),2
NoHCC(1), 71;74;79(2),2
NoHCC(1), 75;78(2),4
NoHCC(1), 78;79(2),1
NoHCC(1), 78;9(2),2
NoHCC(1),1(2),1
NoHCC(1),10(2),49
NoHCC(1),100(2),8
NoHCC(1),103(2),1
NoHCC(1),107(2),3
NoHCC(1),108(2),28
NoHCC(1),11(2),13
NoHCC(1),111(2),18
NoHCC(1),112(2),11
NoHCC(1),12(2),47
NoHCC(1),167(2),6
NoHCC(1),169(2),13
NoHCC(1),170(2),2
NoHCC(1),176(2),2
NoHCC(1),18(2),1
NoHCC(1),186(2),1
NoHCC(1),19(2),2
NoHCC(1),23(2),17
NoHCC(1),27(2),1
NoHCC(1),28(2),4
NoHCC(1),33(2),1
NoHCC(1),34(2),1
NoHCC(1),40(2),9
NoHCC(1),46(2),1
NoHCC(1),47(2),1
NoHCC(1),57(2),6
NoHCC(1),58(2),5
NoHCC(1),72(2),5
NoHCC(1),73(2),7
NoHCC(1),75(2),1
NoHCC(1),77(2),10
NoHCC(1),78(2),127
NoHCC(1),79(2),24
NoHCC(1),8(2),5
NoHCC(1),80(2),2
NoHCC(1),85(2),4
NoHCC(1),9(2),14
NoHCC(1),96(2),3
NoHCC(1),99(2),3
NoHCC(1),NoHCC(2),126
 10;103;78(2),NoHCC(3),1
